koi_disposition,ra,dec,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_period,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,ra,dec,source
FALSE POSITIVE,291.85648,37.065651,4996.0,2.354,20.848,12.552,2.2227289,2.617,279.1,34.14,93172.12,4454.0,291.85648,37.065651,Kepler
CONFIRMED,291.63467,41.833858,5762.0,4.314,1.143,13.484,23.4433748,5.768,85.0,1.29,50.72,681.0,291.63467,41.833858,Kepler
CONFIRMED,290.03052,42.16605,5918.0,4.127,1.555,13.182,5.868066282,4.1246,436.5,3.6,584.32,1254.0,290.03052,42.16605,Kepler
CONFIRMED,290.03052,42.16605,5918.0,4.127,1.555,13.182,1.61189046,3.0792,101.1,1.72,3267.98,1930.0,290.03052,42.16605,Kepler
CONFIRMED,284.55573,46.063831,6215.0,4.305,1.259,12.663,9.940666412,3.9092,520.2,2.87,233.04,996.0,284.55573,46.063831,Kepler
CONFIRMED,288.00812,46.47356,5328.0,4.551,0.865,13.393,4.182001885,2.2209,847.4,2.46,213.29,974.0,288.00812,46.47356,Kepler
CANDIDATE,295.36145,45.914841,5515.0,4.592,0.775,15.972,66.47762,4.487,553.5,1.83,5.34,388.0,295.36145,45.914841,Kepler
FALSE POSITIVE,293.42636,46.68792,6106.0,4.487,0.966,13.9,1.621668852,1.7517,7662.0,32.76,1546.28,1598.0,293.42636,46.68792,Kepler
CANDIDATE,297.49216,46.694519,6096.0,4.511,0.908,13.754,26.89316101,2.3266,2193.2,6.78,33.54,614.0,297.49216,46.694519,Kepler
CONFIRMED,282.21292,46.717819,5676.0,4.247,1.28,13.387,14.70749512,3.1506,262.0,2.04,106.22,819.0,282.21292,46.717819,Kepler
CONFIRMED,284.96851,42.079201,5132.0,4.571,0.77,14.157,20.73989406,3.1505,616.1,2.11,19.47,536.0,284.96851,42.079201,Kepler
CONFIRMED,284.96851,42.079201,5132.0,4.571,0.77,14.157,47.4277116,5.2679,820.4,2.33,6.46,407.0,284.96851,42.079201,Kepler
FALSE POSITIVE,295.19717,42.416939,5448.0,4.562,0.857,14.789,5.07442951,4.064,250.2,1.38,175.75,929.0,295.19717,42.416939,Kepler
CONFIRMED,293.58636,42.928909,5963.0,4.218,1.424,14.517,12.874712426,2.2491,3860.7,11.26,173.5,926.0,293.58636,42.928909,Kepler
FALSE POSITIVE,295.0256,44.330189,5559.0,4.209,1.231,14.468,176.2432946,5.0423,4981.4,48.15,3.68,353.0,295.0256,44.330189,Kepler
CONFIRMED,290.03052,42.16605,5918.0,4.127,1.555,13.182,3.07155284,4.0935,86.0,1.65,1389.97,1556.0,290.03052,42.16605,Kepler
CONFIRMED,296.0322,42.131672,5629.0,4.503,0.943,13.721,22.24814617,4.1483,613.7,2.72,32.58,609.0,296.0322,42.131672,Kepler
CANDIDATE,286.89841,37.93745,5269.0,4.508,0.836,14.99,0.702739679,1.379,65.1,0.73,2292.96,1765.0,286.89841,37.93745,Kepler
FALSE POSITIVE,282.15491,42.234547,5780.0,4.438,1.0,13.826,4.305219002,2.6845,9738.6,10.34,370.84,1119.0,282.15491,42.234547,Kepler
FALSE POSITIVE,298.59164,42.206429,6444.0,3.643,2.947,13.21,13.779711352,7.63871,25479.0,47.58,848.24,1376.0,298.59164,42.206429,Kepler
CONFIRMED,281.19473,47.497131,4780.0,4.597,0.761,12.895,2.508057497,1.1134,1507.6,3.25,234.06,997.0,281.19473,47.497131,Kepler
FALSE POSITIVE,295.19562,42.417068,5661.0,4.48,0.919,13.842,5.07437786,5.942,605.7,23.71,244.04,1008.0,295.19562,42.417068,Kepler
CONFIRMED,282.21292,46.717819,5676.0,4.247,1.28,13.387,0.900375925,1.257,41.4,0.82,4399.18,2078.0,282.21292,46.717819,Kepler
CONFIRMED,288.73898,46.762562,5788.0,4.16,1.495,13.764,4.585466941,3.4437,383.5,3.29,688.54,1307.0,288.73898,46.762562,Kepler
CONFIRMED,288.73898,46.762562,5788.0,4.16,1.495,13.764,22.71443351,6.0875,575.1,4.01,81.57,766.0,288.73898,46.762562,Kepler
CONFIRMED,288.73898,46.762562,5788.0,4.16,1.495,13.764,47.903427,6.191,379.3,3.55,30.17,598.0,288.73898,46.762562,Kepler
CONFIRMED,291.50616,46.895741,4499.0,4.635,0.639,13.177,9.034190783,1.5501,577.6,1.8,27.87,586.0,291.50616,46.895741,Kepler
FALSE POSITIVE,293.68912,46.41288,6077.0,4.471,0.999,14.811,1.433339604,1.3665,305.2,2.08,1873.33,1677.0,293.68912,46.41288,Kepler
FALSE POSITIVE,297.41867,46.64426,5858.0,4.495,0.963,14.608,37.86511904,2.9799,6941.7,40.36,19.31,535.0,297.41867,46.64426,Kepler
CONFIRMED,296.98672,47.47739,5672.0,4.506,0.929,14.959,9.07098164,2.6903,1026.2,2.94,109.61,825.0,296.98672,47.47739,Kepler
FALSE POSITIVE,281.77554,47.59325,5941.0,4.533,0.885,14.371,2.879243323,2.6273,48050.0,21.02,565.39,1244.0,281.77554,47.59325,Kepler
CONFIRMED,296.47977,49.937679,6046.0,4.486,0.972,14.669,45.15535633,5.7845,6208.7,7.65,17.68,523.0,296.47977,49.937679,Kepler
CONFIRMED,291.82349,42.516209,5672.0,4.279,1.204,13.774,9.48965527,3.587,262.2,2.16,173.79,926.0,291.82349,42.516209,Kepler
CONFIRMED,293.8902,42.527966,5966.0,4.169,1.499,13.749,4.22865217,3.3275,150.0,1.83,854.59,1379.0,293.8902,42.527966,Kepler
FALSE POSITIVE,291.01727,37.975368,4973.0,4.603,0.754,13.514,2.85889907,1.465,55.7,0.73,226.09,989.0,291.01727,37.975368,Kepler
CONFIRMED,293.8902,42.527966,5966.0,4.169,1.499,13.749,7.46662068,3.87,120.9,1.65,401.08,1141.0,293.8902,42.527966,Kepler
CONFIRMED,293.8902,42.527966,5966.0,4.169,1.499,13.749,16.25951967,3.854,129.5,1.72,142.1,880.0,293.8902,42.527966,Kepler
CONFIRMED,293.8902,42.527966,5966.0,4.169,1.499,13.749,11.1317901,4.051,95.5,1.47,235.55,999.0,293.8902,42.527966,Kepler
CONFIRMED,291.50616,46.895741,4499.0,4.635,0.639,13.177,28.1224393,4.174,194.3,0.9,6.13,401.0,291.50616,46.895741,Kepler
CONFIRMED,287.60461,42.166779,5979.0,4.394,1.005,12.596,11.427550984,4.6074,500.9,2.35,124.31,852.0,287.60461,42.166779,Kepler
FALSE POSITIVE,292.63766,37.64188,6363.0,4.386,1.198,14.981,0.983304511,1.78,79.9,1.1,4774.53,2121.0,292.63766,37.64188,Kepler
CONFIRMED,291.50616,46.895741,4499.0,4.635,0.639,13.177,45.9029768,5.0041,361.8,1.18,3.19,341.0,291.50616,46.895741,Kepler
CONFIRMED,291.50616,46.895741,4499.0,4.635,0.639,13.177,4.159816554,1.6261,160.3,0.86,78.4,759.0,291.50616,46.895741,Kepler
CONFIRMED,296.65475,46.83527,5244.0,4.538,0.81,13.749,5.69059163,2.557,1384.3,3.1,129.31,860.0,296.65475,46.83527,Kepler
CONFIRMED,288.58151,41.089809,6036.0,3.968,1.909,12.885,4.885488596,5.16165,7458.4,16.66,1182.79,1496.0,288.58151,41.089809,Kepler
CONFIRMED,296.47977,49.937679,6046.0,4.486,0.972,14.669,130.17802962,8.4534,11571.0,10.44,4.31,367.0,296.47977,49.937679,Kepler
CONFIRMED,296.47977,49.937679,6046.0,4.486,0.972,14.669,85.3162004,2.7441,1902.6,6.34,7.57,423.0,296.47977,49.937679,Kepler
CANDIDATE,287.46097,50.975071,5088.0,4.612,0.669,14.762,17.761998411,2.4644,24177.0,14.25,19.78,538.0,287.46097,50.975071,Kepler
CANDIDATE,295.88028,51.26379,4994.0,3.509,3.322,14.932,155.042265,9.848,4880.9,26.44,16.15,511.0,295.88028,51.26379,Kepler
CONFIRMED,295.22644,50.558979,6003.0,4.303,1.109,11.811,10.34973276,4.4859,119.0,1.44,177.25,930.0,295.22644,50.558979,Kepler
CONFIRMED,291.16953,42.640808,5506.0,4.473,0.914,13.998,16.08786246,3.095,612.5,2.56,47.17,668.0,291.16953,42.640808,Kepler
CANDIDATE,286.70145,38.042191,6148.0,4.055,1.685,12.55,25.0032023,5.498,64.1,1.47,116.27,837.0,286.70145,38.042191,Kepler
CONFIRMED,291.16953,42.640808,5506.0,4.473,0.914,13.998,41.74938613,5.6098,1055.4,2.94,13.22,486.0,291.16953,42.640808,Kepler
FALSE POSITIVE,291.16953,42.640808,5506.0,4.473,0.914,13.998,0.56680081,3.6116,127.7,1.02,4065.92,2038.0,291.16953,42.640808,Kepler
CONFIRMED,293.83456,42.624962,6570.0,3.86,2.297,13.343,4.41746257,2.965,291.0,3.95,2536.07,1810.0,293.83456,42.624962,Kepler
CONFIRMED,298.93704,44.85791,5666.0,4.362,0.967,12.87,8.981014925,1.8478,1059.3,3.14,141.77,880.0,298.93704,44.85791,Kepler
CONFIRMED,290.32733,42.898281,4877.0,3.645,2.595,13.781,16.33888067,9.3599,1718.4,10.47,203.31,963.0,290.32733,42.898281,Kepler
FALSE POSITIVE,292.06082,37.770191,6295.0,4.401,1.08,14.372,39.1307086,2.295,201.0,1.54,30.75,600.0,292.06082,37.770191,Kepler
CONFIRMED,296.65475,46.83527,5244.0,4.538,0.81,13.749,10.04157214,2.6577,1114.0,2.97,60.74,712.0,296.65475,46.83527,Kepler
CONFIRMED,296.65475,46.83527,5244.0,4.538,0.81,13.749,18.36974658,2.939,1143.3,3.58,27.14,582.0,296.65475,46.83527,Kepler
CONFIRMED,296.65475,46.83527,5244.0,4.538,0.81,13.749,2.79590004,2.056,383.7,1.66,333.31,1090.0,296.65475,46.83527,Kepler
CONFIRMED,297.06842,46.834278,5817.0,4.293,1.171,13.645,13.72462702,6.9758,281.8,2.13,112.82,831.0,297.06842,46.834278,Kepler
CONFIRMED,297.25909,46.843189,6086.0,4.276,1.227,13.489,46.40626,7.0281,469.1,2.66,28.23,588.0,297.25909,46.843189,Kepler
CANDIDATE,290.22925,37.840961,5511.0,4.069,1.597,17.187,80.84069,8.567,9326.0,15.11,14.83,500.0,290.22925,37.840961,Kepler
CONFIRMED,295.22644,50.558979,6003.0,4.303,1.109,11.811,15.67750191,5.5082,115.5,1.42,101.79,810.0,295.22644,50.558979,Kepler
CONFIRMED,295.22644,50.558979,6003.0,4.303,1.109,11.811,5.59931543,3.8944,84.8,1.22,402.39,1142.0,295.22644,50.558979,Kepler
CONFIRMED,295.22644,50.558979,6003.0,4.303,1.109,11.811,25.2100146,6.553,62.1,0.95,54.06,691.0,295.22644,50.558979,Kepler
CONFIRMED,290.67313,38.69101,5569.0,4.474,0.927,13.597,17.79001678,4.4116,871.4,2.7,43.5,655.0,290.67313,38.69101,Kepler
CONFIRMED,290.67313,38.69101,5569.0,4.474,0.927,13.597,49.5674085,4.002,730.0,2.91,11.09,465.0,290.67313,38.69101,Kepler
CONFIRMED,287.70883,47.33305,6372.0,3.954,2.001,12.128,6.790120801,6.0437,2302.3,9.86,998.97,1434.0,287.70883,47.33305,Kepler
FALSE POSITIVE,297.74799,42.995205,4583.0,4.6,0.695,13.841,1.655467295,3.2424,1059.4,2.17,322.97,1080.0,297.74799,42.995205,Kepler
CONFIRMED,292.50339,43.083149,3912.0,4.728,0.533,13.822,7.972510087,2.9754,3139.0,3.22,14.45,497.0,292.50339,43.083149,Kepler
CONFIRMED,292.50339,43.083149,3912.0,4.728,0.533,13.822,2.453236139,1.6691,1723.2,2.26,69.36,737.0,292.50339,43.083149,Kepler
FALSE POSITIVE,297.40097,43.042782,6312.0,4.127,1.464,13.768,11.9710626,2.7607,421.8,5.84,280.97,1044.0,297.40097,43.042782,Kepler
CONFIRMED,285.43915,43.16848,5297.0,4.578,0.825,13.283,6.0404622,1.98,241.0,1.3,118.56,841.0,285.43915,43.16848,Kepler
CONFIRMED,285.43915,43.16848,5297.0,4.578,0.825,13.283,4.13852825,2.281,256.5,1.3,196.51,954.0,285.43915,43.16848,Kepler
CONFIRMED,287.9061,46.937771,5431.0,4.563,0.843,15.063,3.936993144,1.887,1266.0,3.36,240.16,1004.0,287.9061,46.937771,Kepler
CONFIRMED,287.9061,46.937771,5431.0,4.563,0.843,15.063,28.08185982,4.5288,1840.3,3.63,17.52,522.0,287.9061,46.937771,Kepler
CONFIRMED,287.60461,42.166779,5979.0,4.394,1.005,12.596,23.66834635,5.8297,449.4,2.32,47.11,668.0,287.60461,42.166779,Kepler
CONFIRMED,287.9061,46.937771,5431.0,4.563,0.843,15.063,10.08881066,1.7726,1995.9,4.71,68.62,734.0,287.9061,46.937771,Kepler
CANDIDATE,291.78079,37.811508,5865.0,4.297,1.181,14.544,60.458443,8.43,175.2,1.59,16.14,511.0,291.78079,37.811508,Kepler
FALSE POSITIVE,288.98038,46.95406,5871.0,4.493,0.983,15.04,6.97106919,3.9125,452.8,2.07,189.16,946.0,288.98038,46.95406,Kepler
CONFIRMED,290.67313,38.69101,5569.0,4.474,0.927,13.597,1.311842968,1.7876,245.1,1.43,1410.6,1562.0,290.67313,38.69101,Kepler
FALSE POSITIVE,286.56378,39.53447,6481.0,3.861,2.343,13.592,38.13853099,3.8617,1230.2,68.75,137.15,873.0,286.56378,39.53447,Kepler
CONFIRMED,295.19339,39.539669,6063.0,4.29,1.191,13.49,14.58649856,4.0249,378.7,2.45,124.89,852.0,295.19339,39.539669,Kepler
CANDIDATE,295.19339,39.539669,6063.0,4.29,1.191,13.49,8.0292018,3.462,65.6,0.99,276.27,1040.0,295.19339,39.539669,Kepler
FALSE POSITIVE,291.95761,38.070049,4955.0,4.561,0.751,13.203,1.05569286,1.289,37.5,0.45,898.72,1395.0,291.95761,38.070049,Kepler
CONFIRMED,292.15045,39.637581,5604.0,4.52,0.912,13.307,7.75192755,3.5413,407.3,1.89,124.47,852.0,292.15045,39.637581,Kepler
CONFIRMED,287.62082,43.141647,5867.0,4.235,1.356,13.178,31.80475991,8.699,360.6,2.99,45.9,664.0,287.62082,43.141647,Kepler
CONFIRMED,287.62082,43.141647,5867.0,4.235,1.356,13.178,16.2580276,6.375,47.0,0.92,112.41,830.0,287.62082,43.141647,Kepler
CONFIRMED,292.28732,43.197281,6093.0,3.475,3.913,13.643,8.600153929,9.0015,4510.2,26.52,1986.75,1703.0,292.28732,43.197281,Kepler
FALSE POSITIVE,288.80377,49.530788,6284.0,3.813,2.348,13.123,3.719809197,3.5317,2958.2,87.21,2912.21,1873.0,288.80377,49.530788,Kepler
FALSE POSITIVE,292.68985,37.774361,5271.0,4.436,0.935,15.141,0.73975345,4.2,481.8,2.09,2580.0,1818.0,292.68985,37.774361,Kepler
FALSE POSITIVE,298.35434,47.672081,6732.0,3.793,2.569,12.775,1.612249049,4.235,154.0,50.98,12788.25,2713.0,298.35434,47.672081,Kepler
FALSE POSITIVE,288.54199,43.255421,6544.0,3.839,2.326,13.204,44.258173075,7.58264,20542.0,37.38,120.38,845.0,288.54199,43.255421,Kepler
FALSE POSITIVE,288.90887,50.16283,6238.0,4.337,1.116,14.077,3.05933906,1.7332,1169.2,36.0,999.16,1434.0,288.90887,50.16283,Kepler
FALSE POSITIVE,298.04318,41.195,9653.0,4.191,1.996,12.789,0.624677585,2.411,37.3,1.28,87591.59,4391.0,298.04318,41.195,Kepler
FALSE POSITIVE,290.50125,40.6945,5520.0,4.572,0.818,15.916,0.759763198,3.083,202.5,1.2,2227.19,1752.0,290.50125,40.6945,Kepler
FALSE POSITIVE,291.26672,47.114769,6109.0,4.455,1.029,15.423,372.37369,12.33,666.1,2.68,1.2,267.0,291.26672,47.114769,Kepler
CONFIRMED,290.73001,44.836121,6501.0,4.054,1.854,13.666,126.55719,8.079,366.4,4.59,17.85,524.0,290.73001,44.836121,Kepler
FALSE POSITIVE,297.77292,40.589088,4756.0,4.676,0.62,14.844,12.435190544,3.8305,71.9,0.52,20.93,545.0,297.77292,40.589088,Kepler
CONFIRMED,295.70111,38.945831,6053.0,4.279,1.26,13.358,20.0983676,5.207,157.8,1.58,85.34,775.0,295.70111,38.945831,Kepler
FALSE POSITIVE,286.46753,38.385971,6018.0,4.485,0.975,15.681,85.112898,2.503,513.8,2.21,7.48,422.0,286.46753,38.385971,Kepler
CANDIDATE,281.82318,42.811169,5575.0,4.189,1.308,13.955,2.41750021,4.33,58.2,1.19,1221.36,1507.0,281.82318,42.811169,Kepler
CANDIDATE,281.82318,42.811169,5575.0,4.189,1.308,13.955,4.03357434,5.886,66.2,1.23,616.04,1270.0,281.82318,42.811169,Kepler
FALSE POSITIVE,290.74918,38.659111,6043.0,4.452,0.901,15.213,0.504426087,1.6276,614.5,33.96,7077.76,2339.0,290.74918,38.659111,Kepler
CANDIDATE,294.13791,42.370499,5640.0,4.087,1.515,14.686,7.66462913,3.614,114.1,1.6,353.31,1106.0,294.13791,42.370499,Kepler
CONFIRMED,290.65839,40.778542,6457.0,4.358,1.196,14.158,9.6887216,2.0,655.5,3.09,250.25,1014.0,290.65839,40.778542,Kepler
CONFIRMED,297.58392,41.541229,5569.0,4.368,1.019,15.412,19.597317,4.508,1014.1,3.78,47.9,671.0,297.58392,41.541229,Kepler
CONFIRMED,299.3519,41.19574,4522.0,4.615,0.655,14.885,13.06243545,3.244,464.3,1.36,18.25,527.0,299.3519,41.19574,Kepler
FALSE POSITIVE,281.44067,47.246471,5077.0,4.533,0.825,14.549,0.793663156,0.8244,186.2,1.14,1600.85,1614.0,281.44067,47.246471,Kepler
FALSE POSITIVE,285.41519,39.776009,5541.0,3.869,1.967,12.511,2.81401302,5.801,55.7,1.51,2081.51,1723.0,285.41519,39.776009,Kepler
CONFIRMED,293.88141,46.838879,6260.0,4.433,1.063,15.331,3.74031708,2.394,165.6,1.38,646.81,1287.0,293.88141,46.838879,Kepler
FALSE POSITIVE,293.10153,38.340618,5403.0,4.389,1.029,15.25,0.851678507,2.028,67.9,0.85,2698.28,1840.0,293.10153,38.340618,Kepler
FALSE POSITIVE,294.64081,43.45393,6045.0,4.494,0.955,15.971,205.30627,7.86,671.0,2.48,2.29,314.0,294.64081,43.45393,Kepler
FALSE POSITIVE,292.99329,38.319489,5100.0,3.368,4.569,13.211,0.978046982,2.6137,838.8,129.67,23083.37,3146.0,292.99329,38.319489,Kepler
FALSE POSITIVE,294.30887,46.413052,5134.0,4.599,0.752,16.49,1.332566763,4.001,384.9,1.49,713.45,1318.0,294.30887,46.413052,Kepler
FALSE POSITIVE,290.31827,37.91098,5706.0,4.255,1.12,15.157,1.89131005,5.687,155.6,6.4,1507.16,1590.0,290.31827,37.91098,Kepler
CONFIRMED,283.76407,42.222172,6105.0,3.805,2.304,13.447,0.692978457,1.1366,61.0,2.24,24240.83,3186.0,283.76407,42.222172,Kepler
FALSE POSITIVE,289.61908,41.927189,5817.0,4.544,0.87,15.692,185.53285,31.46,877.0,28.39,1.96,302.0,289.61908,41.927189,Kepler
FALSE POSITIVE,298.86102,43.417679,5904.0,4.543,0.867,14.549,0.885131111,3.377,93.2,0.9,2579.83,1818.0,298.86102,43.417679,Kepler
FALSE POSITIVE,298.71082,47.369911,5341.0,4.609,0.743,15.699,1.85447373,2.665,306.8,1.33,527.79,1221.0,298.71082,47.369911,Kepler
CANDIDATE,290.33719,38.205009,5957.0,4.506,0.937,14.374,0.487656278,1.0129,109.8,0.99,6647.8,2299.0,290.33719,38.205009,Kepler
FALSE POSITIVE,294.29196,38.138771,6029.0,4.385,1.098,14.564,0.502622858,3.085,146.0,1.41,8838.66,2478.0,294.29196,38.138771,Kepler
CONFIRMED,288.45605,45.80212,4729.0,4.726,0.525,13.831,31.8055128,3.979,141.7,0.63,4.84,378.0,288.45605,45.80212,Kepler
CANDIDATE,287.75903,38.281551,5692.0,4.421,1.004,14.359,3.25424652,5.378,82.1,0.96,521.81,1220.0,287.75903,38.281551,Kepler
CONFIRMED,286.81937,46.91169,5115.0,4.477,0.854,13.632,3.50472344,1.9464,90.7,0.8,254.49,1019.0,286.81937,46.91169,Kepler
CONFIRMED,287.47122,46.080662,5349.0,4.353,1.032,15.259,124.827797,6.479,647.5,2.57,3.56,350.0,287.47122,46.080662,Kepler
CANDIDATE,294.13791,42.370499,5975.0,4.48,0.9,14.686,11.9294568,3.193,132.3,1.05,95.42,797.0,294.13791,42.370499,Kepler
FALSE POSITIVE,294.53149,43.398659,4223.0,4.681,0.557,14.04,0.786260569,4.556,877.1,15.72,477.45,1192.0,294.53149,43.398659,Kepler
FALSE POSITIVE,299.07944,40.825642,6052.0,4.539,0.863,15.248,0.597934463,3.1225,515.0,23.2,4834.45,2126.0,299.07944,40.825642,Kepler
FALSE POSITIVE,292.16028,47.166649,5513.0,4.616,0.724,14.659,360.76458,21.22,383.7,60.3,0.52,216.0,292.16028,47.166649,Kepler
FALSE POSITIVE,291.9632,43.88166,5851.0,3.969,1.555,12.643,2.15292788,3.043,41.4,1.02,2708.61,1841.0,291.9632,43.88166,Kepler
FALSE POSITIVE,291.22729,50.921791,6131.0,4.497,0.945,15.181,2.61585431,6.519,169.8,1.28,803.03,1358.0,291.22729,50.921791,Kepler
CANDIDATE,296.9621,48.25639,6274.0,4.357,1.232,14.718,9.54699216,5.063,143.0,1.71,232.24,996.0,296.9621,48.25639,Kepler
CANDIDATE,296.9621,48.25639,6274.0,4.357,1.232,14.718,14.708641,5.394,130.6,1.82,130.5,862.0,296.9621,48.25639,Kepler
CONFIRMED,296.62704,49.353901,6404.0,4.393,1.142,14.681,31.3351094,6.071,264.9,1.99,46.53,666.0,296.62704,49.353901,Kepler
FALSE POSITIVE,297.86734,40.10257,5767.0,4.538,0.881,15.213,1.061002863,1.962,142.4,1.06,1883.03,1679.0,297.86734,40.10257,Kepler
FALSE POSITIVE,292.27005,47.307362,5086.0,3.89,1.783,14.661,363.35755,19.85,395.3,3.45,2.05,305.0,292.27005,47.307362,Kepler
FALSE POSITIVE,287.47369,42.00375,6135.0,4.455,0.974,15.293,0.924821319,2.594,122.4,1.1,3514.31,1963.0,287.47369,42.00375,Kepler
FALSE POSITIVE,300.61877,44.594391,6102.0,4.316,1.125,13.726,4.4697452,5.33,241.5,2.43,574.11,1248.0,300.61877,44.594391,Kepler
CONFIRMED,286.05243,39.09605,5323.0,4.378,0.995,15.188,214.881456,9.581,759.2,2.68,1.59,286.0,286.05243,39.09605,Kepler
FALSE POSITIVE,296.49731,40.765629,5692.0,4.547,0.866,15.593,122.906853,15.97,819.7,3.55,3.08,338.0,296.49731,40.765629,Kepler
FALSE POSITIVE,297.60681,40.656479,6231.0,4.424,1.084,13.598,12.422216754,6.5533,54.5,0.8,131.73,864.0,297.60681,40.656479,Kepler
CONFIRMED,293.31827,41.116669,6032.0,4.485,0.973,13.809,4.85018974,5.676,64.5,1.1,344.04,1098.0,293.31827,41.116669,Kepler
FALSE POSITIVE,294.74246,38.301811,5576.0,4.615,0.729,15.27,383.43595,11.059,1228.0,2.53,0.5,214.0,294.74246,38.301811,Kepler
CONFIRMED,287.41006,39.65868,6202.0,4.422,1.122,12.692,3.82315697,2.388,47.2,0.77,638.38,1282.0,287.41006,39.65868,Kepler
FALSE POSITIVE,299.12286,40.489071,5765.0,4.415,0.998,13.319,0.842336445,1.519,80.1,0.9,3367.24,1941.0,299.12286,40.489071,Kepler
CANDIDATE,287.85812,42.542629,3780.0,4.746,0.511,15.108,13.6032081,2.592,180.5,0.75,5.85,397.0,287.85812,42.542629,Kepler
FALSE POSITIVE,298.91278,40.110851,5762.0,4.415,0.989,14.582,0.914468919,2.695,3426.3,36.84,2978.16,1884.0,298.91278,40.110851,Kepler
FALSE POSITIVE,286.99091,38.916222,5649.0,4.421,0.884,14.608,1.54039744,1.787,127.6,1.08,1267.95,1520.0,286.99091,38.916222,Kepler
CONFIRMED,297.47711,39.877239,6172.0,4.198,1.471,14.806,8.45805119,2.998,258.7,2.52,367.05,1117.0,297.47711,39.877239,Kepler
CONFIRMED,285.34995,41.452209,4133.0,4.705,0.561,15.134,101.1107014,8.029,878.1,1.61,0.65,229.0,285.34995,41.452209,Kepler
FALSE POSITIVE,297.36047,40.056141,6434.0,4.354,1.166,13.819,0.907943645,1.9144,1028.9,49.37,5715.61,2219.0,297.36047,40.056141,Kepler
FALSE POSITIVE,297.49054,41.8326,5780.0,3.729,2.478,13.939,94.446856,7.502,436.4,7.13,32.93,611.0,297.49054,41.8326,Kepler
FALSE POSITIVE,298.38754,44.151962,6058.0,4.135,1.612,12.6,0.92565941,1.488,30.0,0.88,7600.86,2383.0,298.38754,44.151962,Kepler
FALSE POSITIVE,291.69067,41.332878,5395.0,3.739,2.537,13.078,0.537110149,1.7976,92.0,32.19,24545.75,3195.0,291.69067,41.332878,Kepler
CONFIRMED,296.5105,39.173321,5585.0,4.49,0.972,15.308,9.84262076,1.6018,626.4,2.41,97.62,801.0,296.5105,39.173321,Kepler
FALSE POSITIVE,298.57779,40.681438,5269.0,4.62,0.727,14.395,2.99194823,4.39,99.6,0.78,255.16,1019.0,298.57779,40.681438,Kepler
CONFIRMED,289.78052,49.89653,5688.0,4.415,0.971,14.534,62.3026877,7.509,859.3,3.05,10.05,454.0,289.78052,49.89653,Kepler
CONFIRMED,291.88004,45.387932,5508.0,3.897,1.988,12.848,72.3826983,8.279,366.4,4.21,25.83,575.0,291.88004,45.387932,Kepler
FALSE POSITIVE,291.90503,47.094929,5054.0,4.606,0.74,15.892,360.33012,15.16,1022.0,2.34,0.38,200.0,291.90503,47.094929,Kepler
FALSE POSITIVE,293.18408,42.528019,6147.0,4.435,1.096,14.65,0.566803149,1.643,246.0,1.93,7612.11,2380.0,293.18408,42.528019,Kepler
FALSE POSITIVE,292.38293,38.40057,6771.0,3.934,2.259,14.335,15.3466028,4.966,238.5,3.64,480.12,1194.0,292.38293,38.40057,Kepler
CANDIDATE,294.03436,50.371651,6422.0,4.219,1.421,13.166,7.23531329,3.338,112.2,1.53,501.36,1207.0,294.03436,50.371651,Kepler
FALSE POSITIVE,296.34622,50.390789,4978.0,4.539,0.762,15.169,0.531106622,3.0293,5133.6,7.54,2371.49,1781.0,296.34622,50.390789,Kepler
FALSE POSITIVE,295.16696,46.754341,6077.0,4.471,0.999,15.164,1.332547503,4.521,130.3,1.23,2062.92,1719.0,295.16696,46.754341,Kepler
CONFIRMED,287.76456,38.294701,5929.0,4.243,1.363,14.9,225.585245,11.166,754.9,3.71,3.48,348.0,287.76456,38.294701,Kepler
CONFIRMED,295.78552,39.907921,6392.0,4.399,1.162,15.152,24.4972683,5.43,449.1,2.74,64.25,722.0,295.78552,39.907921,Kepler
FALSE POSITIVE,287.45532,38.23959,5596.0,4.343,1.015,13.598,4.20253859,5.389,31.5,0.71,394.08,1136.0,287.45532,38.23959,Kepler
FALSE POSITIVE,299.75021,44.561981,6610.0,4.264,1.313,13.94,0.535578808,1.7973,193.6,33.97,16161.27,2870.0,299.75021,44.561981,Kepler
FALSE POSITIVE,298.90012,40.303589,5764.0,4.548,0.863,15.863,0.89486317,2.657,172.0,1.19,2296.25,1764.0,298.90012,40.303589,Kepler
CANDIDATE,291.38602,42.709129,6951.0,3.766,2.758,12.972,64.1862264,8.485,507.3,8.0,116.97,839.0,291.38602,42.709129,Kepler
CONFIRMED,294.98059,44.425301,5834.0,4.566,0.797,14.667,4.62602867,0.643,346.9,1.65,247.34,1012.0,294.98059,44.425301,Kepler
CONFIRMED,289.74731,39.523453,6688.0,4.304,1.347,13.827,8.93484887,2.579,135.9,1.83,377.25,1124.0,289.74731,39.523453,Kepler
FALSE POSITIVE,290.0831,38.398472,5496.0,4.592,0.776,15.13,7.04716175,2.693,150.8,1.1,105.1,817.0,290.0831,38.398472,Kepler
FALSE POSITIVE,296.49731,40.765629,5716.0,4.544,0.872,15.593,368.71479,16.46,1210.0,91.06,0.73,236.0,296.49731,40.765629,Kepler
