kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,radius,density,esc_vel,temperature,ESI,ESI_n_components
10984090,K00112.02,CONFIRMED,1.0,3.709214104,133.98318,0.051,2.6302,131.1,1.16,1206,500.46,50.6,2,5833,4.407,1.022,295.64871,48.49556,12.772,0.9570804814200394,,,0.004900959611869292,0.06848804848108925,2
10419211,K00742.01,FALSE POSITIVE,0.0,11.52144606,170.839688,2.483,3.6399,17984.0,150.51,753,75.88,622.1,1,5795,4.554,0.848,297.07993,47.597401,15.472,0.0848663565393311,,,0.03679445604201521,0.05588033129046756,2
10464078,K00743.01,FALSE POSITIVE,0.0,19.40393776,172.484253,0.804,12.2155,8918.7,7.18,523,17.69,214.7,1,5043,4.591,0.68,289.25821,47.635319,15.487,0.4480409551808157,,,0.1481907482871636,0.25767329006232026,2
10480982,K00744.01,FALSE POSITIVE,0.0,19.22138894,184.5521637,1.065,4.79843,74284.0,49.29,698,55.97,2317.0,1,6117,4.496,0.947,295.81454,47.69035,15.341,0.15912652003592181,,,0.049810886620775985,0.08902939429125607,2
10485250,K00745.01,FALSE POSITIVE,0.0,16.46983774,180.881761,0.292,9.4378,10479.0,7.94,595,29.61,303.4,1,5152,4.517,0.786,297.15442,47.668701,15.788,0.4259167420902693,,,0.09219274190824023,0.19815759455021328,2
10526549,K00746.01,CONFIRMED,1.0,9.27358173,173.258155,0.387,3.2875,1288.3,2.47,649,41.85,87.2,1,4856,4.583,0.696,288.13824,47.724449,15.302,0.7304648069313063,,,0.06619886453620646,0.21989984266140747,2
10583066,K00747.01,CONFIRMED,1.0,6.02930329,171.602959,0.258,1.5821,1912.7,2.85,678,50.04,65.4,1,4537,4.648,0.672,283.71088,47.86327,15.784,0.688453293194751,,,0.05584510246263309,0.19607841466922882,2
10583180,K00748.01,FALSE POSITIVE,0.0,2.696370652,170.73769,0.044,3.6129,397.9,1.58,1066,305.34,48.2,1,4989,4.504,0.819,283.76547,47.804298,15.269,0.8648959533125186,,,0.00848643541518676,0.08567312092274375,2
10601284,K00749.01,CONFIRMED,1.0,5.349553819,171.80694,0.092,3.0278,831.0,2.55,919,168.99,60.6,1,5185,4.44,0.91,292.37613,47.880989,15.416,0.7210359792508937,,,0.016115021540509197,0.10779383255599688,2
10601284,K00749.02,CONFIRMED,0.98,3.94105221,136.08662,0.226,2.5984,363.3,1.7,1018,253.15,28.9,2,5185,4.44,0.91,292.37613,47.880989,15.416,0.8427713278884644,,,0.010379932520259599,0.0935302598814514,2
10601284,K00749.03,CONFIRMED,0.971,8.10904807,132.8031,0.025,3.596,217.4,1.3,800,97.03,14.1,3,5185,4.44,0.91,292.37613,47.880989,15.416,0.9234262819589574,,,0.02875863185698299,0.16296157979695775,2
10662202,K00750.01,CONFIRMED,1.0,21.67699193,171.53594,0.896,3.4555,857.2,2.95,530,18.64,34.3,1,4954,4.5,0.828,290.46512,47.92918,15.377,0.6784639133399658,,,0.14125181046869328,0.30957108407754236,2
10682541,K00751.01,CONFIRMED,1.0,4.99677968,171.74208,0.71,2.1717,934.7,2.78,917,166.95,28.2,1,5339,4.552,0.847,297.80826,47.946671,15.861,0.6956916192877378,,,0.016264837765237405,0.10637345215019751,2
11460018,K00769.01,CONFIRMED,1.0,4.280963604,171.89659,0.424,2.875,750.8,2.3,1012,247.87,61.8,1,5644,4.564,0.831,294.26581,49.314091,15.356,0.7516820020282833,,,0.01065009671373719,0.08947338162591605,2
11463211,K00770.01,FALSE POSITIVE,0.0,1.50635409,170.998064,0.86,1.5155,2211.7,4.53,1452,1054.12,181.1,1,5714,4.563,0.831,295.66522,49.351009,15.525,0.5600589897645909,,,0.0020935949018966835,0.03424232243485471,2
11465813,K00771.01,FALSE POSITIVE,0.0,670.645531,209.04355,0.701,53.412,18091.0,14.14,196,0.35,642.7,1,5520,4.466,0.983,296.69861,49.316479,15.207,0.31543897197218945,,,0.3083891827034947,0.3118941595466867,2
11493732,K00772.01,FALSE POSITIVE,0.0,61.2563628,173.83826,1.248,7.633,5123.3,39.87,505,15.43,85.3,1,6144,4.402,1.091,283.72592,49.479519,15.25,0.17909623414261597,,,0.16796278700469416,0.1734401989984993,2
11507101,K00773.01,CONFIRMED,1.0,38.3775486,172.82048,0.468,5.588,724.2,2.82,529,18.53,34.7,1,5481,4.369,1.036,291.72202,49.480869,15.172,0.6915299287012374,,,0.14221924934932223,0.3136062297890147,2
10910878,K00757.02,CONFIRMED,0.992,41.19725502,165.00404,0.045,4.6297,2213.9,3.86,439,8.76,51.2,2,5031,4.485,0.848,286.99948,48.37579,15.841,0.60284327990448,,,0.272769272190757,0.40550847426981573,2
10910878,K00757.03,CONFIRMED,1.0,6.252962249,171.30126,0.105,2.5819,1036.9,2.65,823,108.3,47.1,3,5031,4.485,0.848,286.99948,48.37579,15.841,0.7097087583492981,,,0.02559016043200192,0.13476483586661403,2
10987985,K00758.01,CONFIRMED,1.0,16.01308419,176.3608,0.799,3.2554,1121.9,3.1,593,29.31,33.2,1,5015,4.499,0.826,297.02563,48.478588,15.39,0.664202183855869,,,0.09336667407469343,0.24902680341636024,2
11018648,K00759.01,CONFIRMED,1.0,32.62876672,194.1019,0.021,4.7971,1804.8,3.36,506,15.55,80.0,1,5586,4.56,0.798,285.71854,48.505859,15.082,0.6413274052909983,,,0.16678579291159643,0.32705397078677384,2
11018648,K00759.02,CONFIRMED,0.978,91.7732862,193.8378,0.606,6.473,652.0,2.12,359,3.92,19.1,2,5586,4.56,0.798,285.71854,48.505859,15.082,0.7761023151120967,,,0.5227711007285163,0.6369645685193962,2
11138155,K00760.01,CONFIRMED,1.0,4.959319244,172.2585292,0.831,2.22739,9802.0,12.21,1103,349.4,696.5,1,5712,4.359,1.082,292.16705,48.727589,15.263,0.34093570950643853,,,0.007301163468726341,0.04989215717357494,2
11152159,K00761.01,FALSE POSITIVE,0.0,2.701287801,170.69579,1.016,3.3827,860.4,6.54,1222,527.81,48.3,1,5550,4.468,0.91,297.92365,48.777321,15.54,0.46933768881385896,,,0.004618129335361006,0.046556010878315346,2
11153539,K00762.01,CONFIRMED,1.0,4.49876511,171.34905,0.312,3.7362,460.0,2.1,1133,389.62,29.5,1,6075,4.486,0.969,298.45685,48.791592,15.395,0.7789524220653969,,,0.006481604131483993,0.07105533925813415,2
11242721,K00763.01,FALSE POSITIVE,0.0,19.65120951,179.401981,0.723,5.2514,11766.0,12.42,730,67.03,513.4,1,6074,4.391,1.063,291.0939,48.933842,15.536,0.3378844174930116,,,0.04167972609426487,0.11867152132095114,2
9579641,K00115.01,CONFIRMED,1.0,5.412203927,133.143089,0.787,2.9472,601.6,2.94,1093,337.68,166.7,1,5779,4.339,1.087,287.88733,46.276241,12.791,0.6794449124660793,,,0.007601104986173766,0.07186467916839477,2
11304958,K00764.01,CONFIRMED,0.998,41.43958662,208.93203,0.355,10.5989,2793.1,5.5,516,16.72,141.1,1,5468,4.367,1.046,295.55505,49.017342,15.4,0.5107712973755768,,,0.15553520483478808,0.2818562015656934,2
11391957,K00765.01,CONFIRMED,1.0,8.35389523,171.63257,0.023,2.2514,1041.6,2.52,790,91.9,43.4,1,5592,4.582,0.787,285.49924,49.277351,15.317,0.7245323467946192,,,0.03027922617115775,0.14811576147363242,2
11403044,K00766.01,CONFIRMED,1.0,4.125543472,169.752585,0.597,3.1744,1487.3,4.43,1243,565.35,128.6,1,6174,4.417,1.103,291.93616,49.253979,15.506,0.5659149860247766,,,0.004275588432284425,0.0491896286619846,2
11414511,K00767.01,CONFIRMED,1.0,2.816504904,170.9676846,0.105,2.50587,16814.0,12.21,1219,521.13,1406.8,1,5532,4.452,0.955,297.01547,49.225288,15.052,0.34093570950643853,,,0.004669662677762043,0.0399005608757388,2
11442465,K00768.01,FALSE POSITIVE,0.0,33.93373447,186.67608,0.812,14.561,8503.7,7.34,430,8.11,236.1,1,5040,4.628,0.705,284.17233,49.360722,15.716,0.44312111881081023,,,0.292403831196244,0.3599587654499428,2
12110942,K00786.01,CONFIRMED,1.0,3.689920099,170.36571,0.151,2.6557,426.7,1.89,1147,408.99,35.6,1,5880,4.518,0.917,291.62241,50.61824,15.242,0.8107282888135193,,,0.006136543957679279,0.07053417456834853,2
12366084,K00787.01,CONFIRMED,1.0,4.431238488,171.015,0.405,3.15,1010.9,3.25,1104,351.23,71.1,1,5714,4.428,1.015,295.81616,51.121738,15.367,0.6507368600278796,,,0.007271943981087162,0.06879042079062533,2
12366084,K00787.02,CONFIRMED,1.0,11.37936986,133.84992,0.911,2.6255,1023.5,3.95,806,99.68,37.9,2,5714,4.428,1.015,295.81616,51.121738,15.367,0.5965709947109601,,,0.027889504649736985,0.12898864109249908,2
12404086,K00788.01,CONFIRMED,1.0,26.39432897,176.05459,0.602,3.573,1510.9,3.07,489,13.49,48.2,1,5129,4.595,0.763,289.39972,51.25032,15.234,0.6669884051706232,,,0.18819503976500232,0.3542935356930478,2
8395660,K00116.01,CONFIRMED,1.0,13.57078281,136.279194,0.866,3.3539,511.7,2.64,785,89.61,88.4,1,5854,4.406,1.012,300.86398,44.337551,12.882,0.7108194598956077,,,0.031074990813893807,0.1486227041423785,2
9579641,K00115.02,CONFIRMED,1.0,7.12594387,139.00492,0.898,3.0014,192.4,1.79,997,233.31,47.1,2,5779,4.339,1.087,287.88733,46.276241,12.791,0.8271660511862026,,,0.011362607501848306,0.09694721851854536,2
11656840,K00774.01,FALSE POSITIVE,0.014,7.442652004,169.9717797,0.137,2.3078,24446.0,15.03,967,206.78,835.6,1,6108,4.469,0.956,288.98682,49.733742,15.27,0.30533387527637573,,,0.012963595382350594,0.06291442454324793,2
11754553,K00775.01,CONFIRMED,1.0,16.38489988,172.72782,0.001,3.0249,1127.1,2.0,433,8.35,28.9,2,4126,4.661,0.615,286.73804,49.97575,15.095,0.7936481026567311,,,0.2856792390434825,0.47616046248641714,2
11754553,K00775.02,CONFIRMED,1.0,7.8774163,176.3759,0.041,2.0805,1306.1,2.16,553,22.18,38.7,1,4126,4.661,0.615,286.73804,49.97575,15.095,0.7704872571216317,,,0.12100290614264857,0.3053378411818547,2
11754553,K00775.03,CONFIRMED,1.0,36.4454001,151.60125,0.028,4.007,1122.3,1.99,332,2.88,21.7,3,4126,4.661,0.615,286.73804,49.97575,15.095,0.7951599911065379,,,0.6631500857230603,0.7261614257627904,2
11812062,K00776.01,CONFIRMED,1.0,3.728732147,171.793255,0.558,2.683,5226.5,6.02,1023,258.34,345.2,1,5497,4.577,0.809,290.78574,50.054119,15.523,0.48884923918775525,,,0.010160952891274777,0.07047818166157735,2
11818800,K00777.01,CANDIDATE,0.999,40.4195037,173.56469,0.911,3.362,6256.0,7.51,467,11.29,36.9,1,5446,4.507,0.781,294.31686,50.080231,15.487,0.43805359444073394,,,0.22090902934602774,0.3110787590778918,2
11853255,K00778.01,CONFIRMED,1.0,2.243380573,170.679233,0.915,1.1196,821.7,1.99,822,107.6,38.9,1,4149,4.698,0.564,285.17621,50.149818,15.135,0.7951599911065379,,,0.025719068543049364,0.14300620376039486,2
11909839,K00779.01,FALSE POSITIVE,0.0,10.40599802,177.197466,0.324,6.5036,14489.0,11.23,833,113.94,745.2,1,5746,4.393,0.924,289.23553,50.241001,15.562,0.35624929782836856,,,0.024342105436875774,0.0931228112201898,2
11918099,K00780.01,CONFIRMED,1.0,2.337437946,171.761982,0.28,1.9982,971.2,2.34,1070,311.16,82.4,1,5005,4.595,0.765,293.83331,50.23035,15.334,0.7465374714620614,,,0.008347890451152282,0.07894309994828878,2
11918099,K00780.02,CANDIDATE,0.993,7.2406612,137.75545,1.198,0.558,556.4,19.45,734,68.63,13.7,2,5005,4.595,0.765,293.83331,50.23035,15.334,0.26576140401849246,,,0.04077758098819145,0.10410142734804141,2
9579641,K00115.03,CANDIDATE,0.871,3.43591631,132.6624,0.624,3.133,23.2,0.55,1272,617.61,8.7,3,5779,4.339,1.087,287.88733,46.276241,12.791,0.822441019159597,,,0.0038505449598897133,0.056274737859287674,2
